"Genre","Titel","Spielfilmlänge","Bewertung","Wählerstimmen","Einnahmen","Metascore"
"467","Action","Salt",100,6.4,255813,118.31,65
"468","Mystery","Enemy",91,6.9,111558,1.01,61
"469","Action","District 9",112,8,556794,115.65,81
"470","Action","The Other Guys",107,6.7,199900,119.22,64
"471","Biography","American Gangster",157,7.8,337835,130.13,76
"472","Biography","Marie Antoinette",123,6.4,83941,15.96,65
"473","Action","2012",158,5.8,297984,166.11,49
"474","Adventure","Harry Potter and the Half-Blood Prince",153,7.5,351059,301.96,78
"475","Biography","Argo",120,7.7,481274,136.02,86
"476","Biography","Eddie the Eagle",106,7.4,56332,15.79,54
"477","Drama","The Lives of Others",137,8.5,278103,11.28,89
"478","Horror","Pet",94,5.7,8404,NA,48
"479","Drama","Paint It Black",96,8.3,61,NA,71
"480","Drama","Macbeth",113,6.7,41642,NA,71
"481","Comedy","Forgetting Sarah Marshall",111,7.2,226619,62.88,67
"482","Drama","The Giver",97,6.5,93799,45.09,47
"483","Action","Triple 9",115,6.3,48400,12.63,52
"484","Comedy","Perfetti sconosciuti",97,7.7,17584,NA,43
"485","Animation","Angry Birds",97,6.3,55781,107.51,NA
"486","Adventure","Moonrise Kingdom",94,7.8,254446,45.51,84
"487","Comedy","Hairspray",117,6.7,102954,118.82,81
"488","Drama","Safe Haven",115,6.7,84765,71.35,34
"489","Comedy","Focus",105,6.6,166489,53.85,56
"490","Animation","Ratatouille",111,8,504039,206.44,96
"491","Drama","Stake Land",98,6.5,36091,0.02,66
"492","Action","The Book of Eli",118,6.9,241359,94.82,53
"493","Action","Cloverfield",85,7,313803,80.03,64
"494","Action","Point Break",114,5.3,44553,28.77,34
"495","Drama","Under the Skin",108,6.3,94707,2.61,78
"496","Drama","I Am Legend",101,7.2,565721,256.39,65
"497","Action","Men in Black 3",106,6.8,278379,179.02,58
"498","Mystery","Super 8",112,7.1,298913,126.98,72
"499","Crime","Law Abiding Citizen",109,7.4,228339,73.34,34
"500","Animation","Up",96,8.3,722203,292.98,88
"501","Action","Maze Runner: The Scorch Trials",131,6.3,159364,81.69,43
"502","Drama","Carol",118,7.2,77995,0.25,95
"503","Crime","Imperium",109,6.5,27428,NA,68
"504","Comedy","Youth",124,7.3,52636,2.7,64
"505","Drama","Mr. Nobody",141,7.9,166872,NA,63
"506","Crime","City of Tiny Lights",110,5.7,291,NA,54
"507","Crime","Savages",131,6.5,107960,47.31,59
"508","Comedy","(500) Days of Summer",95,7.7,398972,32.39,76
"509","Comedy","Movie 43",94,4.3,83625,8.83,18
"510","Drama","Gravity",91,7.8,622089,274.08,96
"511","Drama","The Boy in the Striped Pyjamas",94,7.8,144614,9.03,55
"512","Action","Shooter",124,7.2,267820,46.98,53
"513","Sci","The Happening",91,5,170897,64.51,34
"514","Adventure","Bone Tomahawk",132,7.1,47289,66.01,72
"515","Comedy","Magic Mike XXL",115,5.7,42506,NA,60
"516","Comedy","Easy A",92,7.1,294950,58.4,72
"517","Action","Exodus: Gods and Kings",150,6,137299,65.01,52
"518","Action","Chappie",120,6.9,188769,31.57,41
"519","Adventure","The Hobbit: The Desolation of Smaug",161,7.9,513744,258.36,66
"520","Drama","Half of a Yellow Sun",111,6.2,1356,0.05,51
"521","Biography","Anthropoid",120,7.2,24100,2.96,59
"522","Crime","The Counselor",117,5.3,84927,16.97,48
"523","Action","Viking",133,4.7,1830,23.05,57
"524","Biography","Whiskey Tango Foxtrot",112,6.6,36156,NA,NA
"525","Crime","Trust",106,7,36043,0.06,60
"526","Action","Birth of the Dragon",103,3.9,552,93.05,61
"527","Action","Elysium",109,6.6,358932,NA,NA
"528","Adventure","The Green Inferno",100,5.4,26461,7.19,38
"529","Action","Godzilla",123,6.4,318058,200.66,62
"530","Action","The Bourne Legacy",135,6.7,245374,113.17,61
"531","Comedy","A Good Year",117,6.9,74674,7.46,47
"532","Horror","Friend Request",92,5.4,12758,64.03,59
"533","Action","Deja Vu",126,7,253858,NA,NA
"534","Action","Lucy",89,6.4,352698,126.55,61
"535","Biography","A Quiet Passion",125,7.2,1024,1.08,77
"536","Action","Need for Speed",132,6.5,143389,43.57,39
"537","Action","Jack Reacher",130,7,250811,58.68,50
"538","Action","The Do-Over",108,5.7,24761,0.54,22
"539","Crime","True Crimes",92,7.3,198,NA,43
"540","Crime","American Pastoral",108,6.1,7115,NA,NA
"541","Mystery","The Ghost Writer",128,7.2,137964,15.52,77
"542","Mystery","Limitless",105,7.4,444417,79.24,59
"543","Action","Spectral",107,6.3,27042,NA,39
"544","Drama","P.S. I Love You",126,7.1,177247,53.68,NA
"545","Drama","Zipper",103,5.7,4912,NA,39
"546","Drama","Midnight Special",112,6.7,54787,3.71,76
"547","Comedy","Don't Think Twice",92,6.8,10485,4.42,83
"548","Adventure","Alice in Wonderland",108,6.5,324898,334.19,53
"549","Biography","Chuck",98,6.8,391,0.11,68
"550","Drama","I, Daniel Blake",100,7.9,22941,NA,77
"551","Comedy","The Break-Up",106,5.8,106381,118.68,45
"552","Biography","Loving",123,7.1,17141,7.7,79
"553","Action","Fantastic Four",100,4.3,121847,56.11,27
"554","Drama","The Survivalist",104,6.3,9187,NA,80
"555","Drama","Colonia",106,7.1,30074,NA,33
"556","Mystery","The Boy Next Door",91,4.6,30180,35.39,30
"557","Mystery","The Gift",108,7.1,96688,43.77,77
"558","Action","Dracula Untold",92,6.3,148504,55.94,40
"559","Action","In the Heart of the Sea",122,6.9,90372,24.99,47
"560","Adventure","Idiocracy",84,6.6,115355,0.44,66
"561","Action","The Expendables",103,6.5,283282,102.98,45
"562","Fantasy","Evil Dead",91,6.5,133113,54.24,57
"563","Horror","Sinister",110,6.8,171169,48.06,53
"564","Animation","Wreck-It Ralph",101,7.8,290559,189.41,72
"565","Action","Snow White and the Huntsman",127,6.1,239772,155.11,57
"566","Adventure","Pan",111,5.8,47804,34.96,36
"567","Action","Transformers: Dark of the Moon",154,6.3,338369,352.36,42
"568","Comedy","Juno",96,7.5,432461,143.49,81
"569","Comedy","A Hologram for the King",98,6.1,26521,4.2,58
"570","Crime","Money Monster",98,6.5,68654,41.01,55
"571","Comedy","The Other Woman",109,6,110825,83.91,39
"572","Animation","Enchanted",107,7.1,150353,127.71,75
"573","Comedy","The Intern",121,7.1,159582,75.27,51
"574","Comedy","Little Miss Sunshine",101,7.8,374044,59.89,80
"575","Biography","Bleed for This",117,6.8,11900,4.85,62
"576","Action","Clash of the Titans",106,5.8,238206,163.19,39
"577","Action","The Finest Hours",117,6.8,44425,27.55,58
"578","Action","Tron",125,6.8,273959,172.05,49
"579","Action","The Hunger Games: Catching Fire",146,7.6,525646,424.65,76
"580","Crime","All Good Things",101,6.3,44158,0.58,57
"581","Action","Kickboxer: Vengeance",90,4.9,6809,131.56,37
"582","Action","The Last Airbender",103,4.2,125129,NA,20
"583","Comedy","Sex Tape",94,5.1,89885,38.54,36
"584","Comedy","What to Expect When You're Expecting",110,5.7,60059,41.1,41
"585","Biography","Moneyball",133,7.6,297395,75.61,87
"586","Action","Ghost Rider",114,5.2,190673,115.8,35
"587","Biography","Unbroken",137,7.2,114006,115.6,59
"588","Action","Immortals",110,6,142900,83.5,46
"589","Adventure","Sunshine",107,7.3,199860,3.68,64
"590","Animation","Brave",93,7.2,293941,237.28,69
"591","Drama","Män som hatar kvinnor",152,7.8,182074,10.1,76
"592","Drama","Adoration",112,6.2,25208,0.32,37
"593","Crime","The Drop",106,7.1,116118,10.72,69
"594","Comedy","She's the Man",105,6.4,122864,2.34,45
"595","Comedy","Daddy's Home",96,6.1,68306,150.32,42
"596","Drama","Let Me In",116,7.2,97141,12.13,79
"597","Action","Never Back Down",110,6.6,84083,24.85,39
"598","Action","Grimsby",83,6.2,63408,6.86,44
"599","Drama","Moon",97,7.9,277123,5.01,67
"600","Animation","Megamind",95,7.3,183926,148.34,63
"601","Action","Gangster Squad",113,6.7,181432,46,40
"602","Action","Blood Father",88,6.4,40357,93.95,66
"603","Comedy","He's Just Not That Into You",129,6.4,137684,NA,47
"604","Animation","Kung Fu Panda 3",95,7.2,89791,143.52,66
"605","Crime","The Rise of the Krays",110,5.1,1630,6.53,90
"606","Drama","Handsome Devil",95,7.4,338,NA,NA
"607","Drama","Winter's Bone",100,7.2,116435,NA,NA
"608","Comedy","Horrible Bosses",98,6.9,368556,117.53,57
"609","Drama","Mommy",139,8.1,33560,3.49,74
"610","Action","Hellboy II: The Golden Army",120,7,216932,75.75,78
"611","Drama","Beautiful Creatures",124,6.2,71822,19.45,52
"612","Comedy","Toni Erdmann",162,7.6,24387,1.48,93
"613","Drama","The Lovely Bones",135,6.7,130702,43.98,42
"614","Biography","The Assassination of Jesse James by the Coward Robert Ford",160,7.5,143564,3.9,68
"615","Comedy","Don Jon",90,6.6,199973,24.48,66
"616","Action","Bastille Day",92,6.3,21089,0.04,48
"617","Sci","2307: Winter's Dream",101,4,277,20.76,53
"618","Action","Free State of Jones",139,6.9,29895,NA,NA
"619","Action","Mr. Right",95,6.3,30053,0.03,52
"620","Adventure","The Secret Life of Walter Mitty",114,7.3,249877,58.23,54
"621","Comedy","Dope",103,7.3,66400,17.47,72
"622","Action","Underworld Awakening",88,6.4,127157,62.32,39
"623","Drama","Antichrist",108,6.6,94069,0.4,49
"624","Horror","Friday the 13th",97,5.6,78631,65,34
"625","Action","Taken 3",109,6,144715,89.25,26
"626","Action","Total Recall",118,6.3,210965,58.88,43
"627","Action","X-Men: The Last Stand",104,6.7,406540,234.36,58
"628","Comedy","The Escort",88,6,7181,NA,46
"629","Crime","The Whole Truth",93,6.1,10700,NA,NA
"630","Adventure","Night at the Museum: Secret of the Tomb",98,6.2,74886,113.73,47
"631","Comedy","Love & Other Drugs",112,6.7,151519,32.36,55
"632","Comedy","The Interview",112,6.6,261536,6.11,52
"633","Comedy","The Host",120,7,73491,2.2,85
"634","Drama","Megan Is Missing",85,4.9,6683,NA,94
"635","Animation","WALL·E",98,8.4,776897,223.81,NA
"636","Comedy","Knocked Up",129,7,309398,148.73,85
"637","Mystery","Source Code",93,7.5,404884,54.7,74
"638","Crime","Lawless",116,7.3,195360,37.4,58
"639","Drama","Unfriended",83,5.6,50402,31.54,59
"640","Comedy","American Reunion",113,6.7,178471,56.72,49
"641","Biography","The Pursuit of Happyness",117,8,361105,162.59,64
"642","Comedy","Relatos salvajes",122,8.1,110100,3.08,77
"643","Comedy","The Ridiculous 6",119,4.8,31149,NA,18
"644","Drama","Frantz",113,7.5,4304,0.86,73
"645","Drama","Viral",85,5.5,3564,NA,72
"646","Drama","Gran Torino",116,8.2,595779,148.09,NA
"647","Comedy","Burnt",101,6.6,76469,13.65,42
"648","Fantasy","Tall Men",133,3.2,173,NA,57
"649","Drama","Sleeping Beauty",101,5.3,27006,0.03,NA
"650","Action","Vampire Academy",104,5.6,44111,7.79,30
"651","Drama","Sweeney Todd: The Demon Barber of Fleet Street",116,7.4,296289,52.88,83
"652","Crime","Solace",101,6.4,36300,NA,36
"653","Horror","Insidious",103,6.8,219916,53.99,52
"654","Comedy","Popstar: Never Stop Never Stopping",87,6.7,30875,9.39,68
"655","Drama","The Levelling",83,6.4,482,NA,82
"656","Biography","Public Enemies",140,7,240323,97.03,70
"657","Drama","Boyhood",165,7.9,286722,25.36,100
"658","Action","Teenage Mutant Ninja Turtles",101,5.9,178527,190.87,31
"659","Crime","Eastern Promises",100,7.7,198006,17.11,82
"660","Drama","The Daughter",96,6.7,2798,0.03,62
"661","Action","Pineapple Express",111,7,267872,87.34,64
"662","Comedy","The First Time",95,6.9,54027,0.02,55
"663","Crime","Gone Baby Gone",114,7.7,206707,20.3,72
"664","Action","The Heat",117,6.6,140151,159.58,60
"665","Drama","L'avenir",102,7.1,5796,0.28,88
"666","Drama","Anna Karenina",129,6.6,75291,12.8,63
"667","Crime","Regression",106,5.7,26320,0.05,32
"668","Adventure","Ted 2",115,6.3,136323,81.26,48
"669","Comedy","Pain & Gain",129,6.5,168875,49.87,45
"670","Adventure","Blood Diamond",143,8,422014,57.37,64
"671","Biography","Devil's Knot",114,6.1,15514,NA,42
"672","Crime","Child 44",137,6.5,47703,1.21,41
"673","Drama","The Hurt Locker",131,7.6,352023,15.7,94
"674","Action","Green Lantern",114,5.6,231907,116.59,39
"675","Action","War on Everyone",98,5.9,9285,NA,50
"676","Horror","The Mist",126,7.2,233346,25.59,58
"677","Action","Escape Plan",115,6.7,188004,25.12,49
"678","Comedy","Love, Rosie",102,7.2,80415,0.01,44
"679","Comedy","The DUFF",101,6.5,57874,34.02,56
"680","Action","The Age of Shadows",140,7.2,2403,0.54,78
"681","Action","The Hunger Games: Mockingjay - Part 1",123,6.7,331902,337.1,64
"682","Drama","We Need to Talk About Kevin",112,7.5,104953,1.74,68
"683","Comedy","Love & Friendship",90,6.5,16164,14.01,87
"684","Action","The Mortal Instruments: City of Bones",130,5.9,112313,31.17,33
"685","Drama","Seven Pounds",123,7.7,245144,69.95,36
"686","Biography","The King's Speech",118,8,534388,138.8,88
"687","Biography","Hunger",96,7.6,54486,0.15,82
"688","Action","Jumper",88,6.1,252503,80.17,35
"689","Animation","Toy Story 3",103,8.3,586669,414.98,92
"690","Drama","Tinker Tailor Soldier Spy",122,7.1,157053,24.1,85
"691","Action","Resident Evil: Retribution",96,5.4,114144,42.35,39
"692","Drama","Dear Zindagi",151,7.8,23540,1.4,56
"693","Biography","Genius",104,6.5,10708,1.36,NA
"694","Action","Pompeii",105,5.5,90188,23.22,39
"695","Adventure","Life of Pi",127,7.9,471109,124.98,79
"696","Drama","Hachi: A Dog's Tale",93,8.1,177602,NA,61
"697","Comedy","10 Years",100,6.1,19636,0.2,NA
"698","Drama","I Origins",106,7.3,86271,0.33,57
"699","Action","Live Free or Die Hard",128,7.2,347567,134.52,69
"700","Comedy","The Matchbreaker",94,5.5,1427,NA,44
"701","Crime","Funny Games",111,6.5,73835,1.29,NA
"702","Comedy","Ted",106,7,494641,218.63,62
"703","Action","RED",111,7.1,250012,90.36,60
"704","Adventure","Australia",165,6.6,106115,49.55,53
"705","Action","Faster",98,6.5,83788,23.23,44
"706","Crime","The Neighbor",87,5.8,4754,NA,60
"707","Romance","The Adjustment Bureau",106,7.1,208632,62.45,NA
"708","Comedy","The Hollars",88,6.5,5908,1.02,53
"709","Crime","The Judge",141,7.4,146812,47.11,48
"710","Crime","Closed Circuit",96,6.2,18437,5.73,50
"711","Action","Transformers: Revenge of the Fallen",150,6,335757,402.08,35
"712","Animation","La tortue rouge",80,7.6,11482,0.92,86
"713","Animation","The Book of Life",95,7.3,50388,50.15,67
"714","Drama","Incendies",131,8.2,92863,6.86,80
"715","Comedy","The Heartbreak Kid",116,5.8,74664,36.77,46
"716","Animation","Happy Feet",108,6.5,141141,197.99,77
"717","Comedy","Entourage",104,6.6,64557,32.36,38
"718","Horror","The Strangers",86,6.2,96718,52.53,47
"719","Action","Noah",138,5.8,209700,101.16,68
"720","Comedy","Neighbors",97,6.4,236500,150.06,68
"721","Drama","Nymphomaniac: Vol. II",123,6.7,65824,0.33,60
"722","Adventure","Wild",115,7.1,95553,37.88,76
"723","Comedy","Grown Ups",102,6,190385,162,30
"724","Horror","Blair Witch",89,5.1,26088,20.75,47
"725","Action","The Karate Kid",140,6.2,127983,176.59,61
"726","Comedy","Dark Shadows",113,6.2,209326,79.71,55
"727","Comedy","Friends with Benefits",109,6.6,286543,55.8,63
"728","Drama","The Illusionist",110,7.6,309934,39.83,68
"729","Action","The A-Team",117,6.8,219116,77.21,47
"730","Thriller","The Guest",100,6.7,71069,0.32,76
"731","Comedy","The Internship",119,6.3,166342,44.67,42
"732","Adventure","Paul",104,7,201707,37.37,57
"733","Comedy","This Beautiful Fantastic",100,6.9,688,NA,51
"734","Mystery","The Da Vinci Code",149,6.6,338280,217.54,46
"735","Comedy","Mr. Church",104,7.7,16163,0.69,37
"736","Adventure","Hugo",126,7.5,259182,73.82,83
"737","Horror","The Blackcoat's Daughter",93,5.6,4155,0.02,68
"738","Action","Body of Lies",128,7.1,182305,39.38,57
"739","Drama","Knight of Cups",118,5.7,17439,0.56,53
"740","Action","The Mummy: Tomb of the Dragon Emperor",112,5.2,124554,102.18,31
"741","Comedy","The Boss",99,5.4,29642,63.03,40
"742","Action","Hands of Stone",111,6.6,8998,4.71,54
"743","Drama","El secreto de sus ojos",129,8.2,144524,20.17,80
"744","Adventure","True Grit",110,7.6,254904,171.03,80
"745","Drama","We Are Your Friends",96,6.2,25903,3.59,46
"746","Comedy","A Million Ways to Die in the West",116,6.1,144779,42.62,44
"747","Thriller","Only for One Night",86,4.6,313,NA,60
"748","Comedy","Rules Don't Apply",127,5.7,3731,3.65,NA
"749","Horror","Ouija: Origin of Evil",99,6.1,30035,34.9,65
"750","Adventure","Percy Jackson: Sea of Monsters",106,5.9,91684,68.56,39
"751","Crime","Fracture",113,7.2,148943,39,68
"752","Horror","Oculus",104,6.5,92875,27.69,61
"753","Comedy","In Bruges",107,7.9,322536,7.76,67
"754","Action","This Means War",103,6.3,154400,54.76,31
"755","Biography","Lída Baarová",106,5,353,NA,64
"756","Adventure","The Road",111,7.3,187302,0.06,NA
"757","Drama","Lavender",92,5.2,2083,NA,46
"758","Drama","Deuces",87,6.6,256,NA,36
"759","Action","Conan the Barbarian",113,5.2,84893,21.27,NA
"760","Action","The Fighter",116,7.8,290056,93.57,79
"761","Drama","August Rush",114,7.5,91229,31.66,38
"762","Comedy","Chef",114,7.3,151970,31.24,68
"763","Drama","Eye in the Sky",102,7.3,57826,18.7,73
"764","Action","Eagle Eye",118,6.6,156158,101.11,43
"765","Horror","The Purge",85,5.7,154588,64.42,41
"766","Comedy","PK",153,8.2,103279,10.57,51
"767","Action","Ender's Game",114,6.7,194236,61.66,NA
"768","Action","Indiana Jones and the Kingdom of the Crystal Skull",122,6.2,351361,317.01,65
"769","Drama","Paper Towns",109,6.3,72515,31.99,56
"770","Drama","High-Rise",119,5.7,25928,0.34,65
"771","Action","Quantum of Solace",106,6.6,347798,168.37,58
"772","Action","The Assignment",95,4.5,2043,NA,34
"773","Animation","How to Train Your Dragon",98,8.1,523893,217.39,74
"774","Drama","Lady in the Water",110,5.6,82701,42.27,36
"775","Drama","The Fountain",96,7.3,199193,10.14,51
"776","Animation","Cars 2",106,6.2,110490,191.45,57
"777","Horror","31",102,5.1,10871,0.78,35
"778","Action","Final Girl",90,4.7,9026,NA,56
"779","Comedy","Chalk It Up",90,4.8,499,NA,NA
"780","Biography","The Man Who Knew Infinity",108,7.2,29912,3.86,NA
"781","Action","Unknown",113,6.9,218679,61.09,56
"782","Action","Self/less",117,6.5,67196,12.28,34
"783","Crime","Mr. Brooks",120,7.3,128146,28.48,45
"784","Comedy","Tramps",82,6.5,1031,NA,77
"785","Comedy","Before We Go",95,6.9,31370,0.04,31
"786","Biography","Captain Phillips",134,7.8,346154,107.1,83
"787","Drama","The Secret Scripture",108,6.8,378,NA,37
"788","Action","Max Steel",92,4.6,11555,3.77,22
"789","Animation","Hotel Transylvania 2",89,6.7,69157,169.69,44
"790","Action","Hancock",92,6.4,366138,227.95,49
"791","Comedy","Sisters",118,6,50241,87.03,58
"792","Comedy","The Family",111,6.3,92868,36.92,42
"793","Comedy","Zack and Miri Make a Porno",101,6.6,154936,31.45,56
"794","Animation","Ma vie de Courgette",66,7.8,4370,0.29,85
"795","Action","Man on a Ledge",102,6.6,129252,18.6,40
"796","Comedy","No Strings Attached",108,6.2,178243,70.63,50
"797","Adventure","Rescue Dawn",120,7.3,87887,5.48,77
"798","Animation","Despicable Me 2",98,7.4,304837,368.05,62
"799","Crime","A Walk Among the Tombstones",114,6.5,93883,25.98,57
"800","Action","The World's End",109,7,199813,26,81
"801","Comedy","Yoga Hosers",88,4.3,7091,NA,23
"802","Comedy","Seven Psychopaths",110,7.2,196652,14.99,66
"803","Animation","Beowulf",115,6.2,146566,82.16,59
"804","Action","Jack Ryan: Shadow Recruit",105,6.2,103681,50.55,57
"805","Fantasy","1408",104,6.8,221073,71.98,64
"806","Crime","The Gambler",111,6,52537,33.63,55
"807","Action","Prince of Persia: The Sands of Time",116,6.6,233148,90.76,50
"808","Comedy","The Spectacular Now",95,7.1,115751,6.85,82
"809","Biography","A United Kingdom",111,6.8,4771,3.9,65
"810","Action","USS Indianapolis: Men of Courage",128,5.2,4964,NA,30
"811","Action","Turbo Kid",93,6.7,19309,0.05,60
"812","Horror","Mama",100,6.2,142560,71.59,57
"813","Horror","Orphan",123,7,153448,41.57,42
"814","Comedy","To Rome with Love",112,6.3,72050,16.68,54
"815","Animation","Fantastic Mr. Fox",87,7.8,149779,21,83
"816","Crime","Inside Man",129,7.6,285441,88.5,76
"817","Crime","I.T.",95,5.4,8755,NA,27
"818","Adventure","127 Hours",94,7.6,294010,18.33,82
"819","Horror","Annabelle",99,5.4,91106,84.26,37
"820","Horror","Wolves at the Door",73,4.6,564,NA,63
"821","Drama","Suite Française",107,6.9,13711,NA,NA
"822","Adventure","The Imaginarium of Doctor Parnassus",123,6.8,130153,7.69,65
"823","Action","G.I. Joe: The Rise of Cobra",118,5.8,180105,150.17,32
"824","Biography","Christine",119,7,5855,0.3,72
"825","Drama","Man Down",90,5.8,4779,NA,27
"826","Horror","Crawlspace",88,5.3,1427,NA,25
"827","Drama","Shut In",91,4.6,5715,6.88,NA
"828","Action","The Warriors Gate",108,5.3,1391,NA,77
"829","Action","Grindhouse",191,7.6,160350,25.03,NA
"830","Comedy","Disaster Movie",87,1.9,77207,14.17,15
"831","Drama","Rocky Balboa",102,7.2,171356,70.27,63
"832","Comedy","Diary of a Wimpy Kid: Dog Days",94,6.4,16917,49,54
"833","Drama","Jane Eyre",120,7.4,67464,11.23,76
"834","Action","Fool's Gold",112,5.7,62719,70.22,29
"835","Comedy","The Dictator",83,6.4,225394,59.62,58
"836","Mystery","The Loft",108,6.3,38804,5.98,24
"837","Crime","Bacalaureat",128,7.5,5531,0.13,84
"838","Action","You Don't Mess with the Zohan",113,5.5,163144,100.02,54
"839","Crime","Exposed",102,4.2,8409,NA,23
"840","Biography","Maudie",115,7.8,346,NA,60
"841","Comedy","Horrible Bosses 2",108,6.3,125190,54.41,40
"842","Drama","A Bigger Splash",125,6.4,15232,1.98,74
"843","Drama","Melancholia",135,7.1,137117,3.03,80
"844","Animation","The Princess and the Frog",97,7.1,95480,104.37,73
"845","Action","Unstoppable",98,6.8,157499,81.56,69
"846","Drama","Flight",138,7.3,276347,93.75,76
"847","Animation","Home",94,6.7,77447,177.34,55
"848","Crime","La migliore offerta",131,7.8,77986,0.09,49
"849","Thriller","Mean Dreams",108,6.3,1066,NA,64
"850","Biography","42",128,7.5,69659,95,62
"851","Crime","21",123,6.8,198395,81.16,48
"852","Drama","Begin Again",104,7.4,111875,16.17,62
"853","Crime","Out of the Furnace",116,6.8,88829,11.33,63
"854","Drama","Vicky Cristina Barcelona",96,7.1,208770,23.21,70
"855","Animation","Kung Fu Panda",92,7.6,329788,215.4,73
"856","Comedy","Barbershop: The Next Cut",111,5.9,9993,54.01,67
"857","Action","Terminator Salvation",115,6.6,297093,125.32,49
"858","Biography","Freedom Writers",123,7.5,55648,36.58,64
"859","Horror","The Hills Have Eyes",107,6.4,136642,41.78,52
"860","Biography","Changeling",141,7.8,206793,35.71,63
"861","Drama","Remember Me",113,7.2,119376,19.06,40
"862","Animation","Koe no katachi",129,8.4,2421,NA,80
"863","Comedy","Alexander and the Terrible, Horrible, No Good, Very Bad Day",81,6.2,32310,66.95,54
"864","Drama","Locke",85,7.1,100890,1.36,81
"865","Mystery","The 9th Life of Louis Drax",108,6.3,6175,NA,41
"866","Drama","Horns",120,6.5,61060,0.16,46
"867","Drama","Indignation",110,6.9,7402,3.4,78
"868","Biography","The Stanford Prison Experiment",122,6.9,20907,0.64,67
"869","Comedy","Diary of a Wimpy Kid: Rodrick Rules",99,6.6,20194,52.69,51
"870","Action","Mission: Impossible III",126,6.9,270429,133.38,66
"871","Comedy","En man som heter Ove",116,7.7,21569,3.36,70
"872","Action","Dragonball Evolution",85,2.7,59512,9.35,45
"873","Action","Red Dawn",93,5.4,64584,44.8,31
"874","Drama","One Day",107,7,113599,13.77,48
"875","Comedy","Life as We Know It",114,6.6,101301,53.36,39
"876","Drama","28 Weeks Later",100,7,221858,28.64,78
"877","Comedy","Warm Bodies",98,6.9,193579,66.36,59
"878","Drama","Blue Jasmine",98,7.3,160592,33.4,78
"879","Action","G.I. Joe: Retaliation",110,5.8,152145,122.51,41
"880","Action","Wrath of the Titans",99,5.8,159230,83.64,37
"881","Action","Shin Gojira",120,6.9,8365,1.91,68
"882","Biography","Saving Mr. Banks",125,7.5,125693,83.3,65
"883","Drama","Transcendence",119,6.3,184564,23.01,42
"884","Animation","Rio",96,6.9,173919,143.62,63
"885","Drama","Equals",101,6.1,16361,0.03,43
"886","Drama","Babel",143,7.5,253417,34.3,69
"887","Drama","The Tree of Life",139,6.8,143517,13.3,85
"888","Drama","The Lucky One",101,6.5,82874,60.44,39
"889","Comedy","Piranha 3D",88,5.5,75262,25,53
"890","Comedy","50/50",100,7.7,281625,34.96,72
"891","Crime","The Intent",104,3.5,202,NA,59
"892","Comedy","This Is 40",134,6.2,108156,67.52,NA
"893","Action","Real Steel",127,7.1,264480,85.46,56
"894","Comedy","Sex and the City",145,5.5,102547,152.64,53
"895","Action","Rambo",92,7.1,187077,42.72,46
"896","Action","Planet Terror",105,7.1,174553,NA,55
"897","Biography","Concussion",123,7.1,61274,34.53,NA
"898","Adventure","The Fall",117,7.9,93036,2.28,64
"899","Comedy","The Ugly Truth",96,6.5,172558,88.92,28
"900","Comedy","Bride Wars",89,5.5,83976,58.72,24
"901","Comedy","Sleeping with Other People",101,6.5,27730,0.81,64
"902","Action","Snakes on a Plane",105,5.6,118905,34.01,58
"903","Comedy","What If",98,6.8,55243,3.45,59
"904","Animation","How to Train Your Dragon 2",102,7.9,237565,177,76
"905","Action","RoboCop",117,6.2,190833,58.61,52
"906","Drama","In Dubious Battle",110,6.2,1455,NA,43
"907","Comedy","Hello, My Name Is Doris",95,6.7,12361,14.44,63
"908","Crime","Ocean's Thirteen",122,6.9,269581,117.14,62
"909","Comedy","Slither",95,6.5,64351,7.77,69
"910","Drama","Contagion",106,6.6,187004,75.64,70
"911","Drama","Il racconto dei racconti - Tale of Tales",133,6.4,17565,0.08,72
"912","Thriller","I Am the Pretty Thing That Lives in the House",87,4.7,4204,NA,68
"913","Adventure","Bridge to Terabithia",96,7.2,117297,82.23,74
"914","Mystery","Coherence",89,7.2,66265,0.07,65
"915","Biography","Notorious",122,6.7,33007,36.84,60
"916","Drama","Goksung",156,7.5,17962,0.79,81
"917","Action","The Expendables 2",103,6.6,257395,85.02,51
"918","Crime","The Girl Next Door",91,6.7,19351,NA,29
"919","Crime","Perfume: The Story of a Murderer",147,7.5,199387,2.21,56
"920","Adventure","The Golden Compass",113,6.1,155078,70.08,51
"921","Action","Centurion",97,6.4,67801,0.12,62
"922","Action","Scouts Guide to the Zombie Apocalypse",93,6.3,31651,3.64,32
"923","Comedy","17 Again",102,6.4,152808,64.15,48
"924","Action","No Escape",103,6.8,57921,27.29,38
"925","Action","Superman Returns",154,6.1,246797,200.07,72
"926","Adventure","The Twilight Saga: Breaking Dawn - Part 1",117,4.9,190244,281.28,45
"927","Drama","Precious",110,7.3,91623,47.54,79
"928","Drama","The Sea of Trees",110,5.9,7475,0.02,23
"929","Comedy","Good Kids",86,6.1,3843,NA,86
"930","Drama","The Master",144,7.1,112902,16.38,NA
"931","Comedy","Footloose",113,5.9,39380,51.78,58
"932","Drama","If I Stay",107,6.8,92170,50.46,46
"933","Drama","The Ticket",97,5.4,924,NA,52
"934","Thriller","Detour",97,6.3,2205,NA,46
"935","Comedy","The Love Witch",120,6.2,4669,0.22,82
